"","incidenceRate","medIncome","popEst2015","povertyPercent","studyPerCap","binnedInc","MedianAge","MedianAgeMale","MedianAgeFemale","AvgHouseholdSize","PercentMarried","PctMarriedHouseholds","BirthRate","deathRate","modeEdu18_24","PctNoHS18_24","PctBachDeg25_Over","modeHI","IDW"
"1",489.8,61898,260131,11.2,499.7482038,"(61494.5, 125635]",39.3,36.9,41.7,2.54,52.5,52.85607588,6.118831029,164.9,"SomeCol18_24",11.5,19.6,"PrivateCoverage","77to90"
"2",411.6,48127,43269,18.6,23.11123437,"(48021.6, 51046.4]",33,32.2,33.7,2.34,44.5,45.37250044,4.333095578,161.3,"SomeCol18_24",6.1,22.7,"PrivateCoverage","77to90"
"3",349.7,49348,21026,14.6,47.56016361,"(48021.6, 51046.4]",45,44,45.8,2.62,54.2,54.44486837,3.729487817,174.7,"HS18_24",24,16,"PrivateCoverage","90to95"
"4",430.4,44243,75882,17.1,342.6372526,"(42724.4, 45201]",42.8,42.2,43.4,2.52,52.7,51.02151448,4.603840773,194.8,"HS18_24",20.2,9.3,"PrivateCoverage","90to95"
"5",350.1,49955,10321,12.5,0,"(48021.6, 51046.4]",48.3,47.8,48.9,2.34,57.8,54.02745995,6.796657382,144.4,"HS18_24",14.9,15,"PrivateCoverage","90to95"
"6",505.4,52313,61023,15.6,180.259902,"(51046.4, 54545.6]",45.4,43.5,48,2.58,50.4,51.22035959,4.964476021,176,"HS18_24",29.9,11.9,"PrivateCoverage","77to90"
"7",461.8,37782,41516,23.2,0,"(37413.8, 40362.7]",42.6,42.2,43.5,2.42,54.1,51.01389975,4.204317269,175.9,"HS18_24",26.1,11.9,"PrivateCoverage","Lt77"
"8",404,40189,20848,17.8,0,"(37413.8, 40362.7]",51.7,50.8,52.5,2.24,52.7,48.96703297,5.889178996,183.6,"SomeCol18_24",27.3,11.3,"PrivateCoverage","77to90"
"9",459.4,42579,13088,22.3,0,"(40362.7, 42724.4]",49.3,48.4,49.8,2.38,55.9,53.44699778,5.587583149,190.5,"HS18_24",34.7,12,"PrivateCoverage","90to95"
"10",510.9,60397,843954,13.1,427.7484318,"(54545.6, 61494.5]",35.8,34.7,37,2.65,50,50.06357342,5.533430211,177.8,"HS18_24",15.6,16.2,"PrivateCoverage","Lt77"
